metric,score,weighted_score,is_confident,score_1,category,experiment,repository,scenario_id,model,score_2,score_3,score_4,score_5
accuracy,1,1.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,,,,
completeness,1,1.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,,,,
accuracy,2,2.0,True,,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,1.0,,,
completeness,2,2.0,True,,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,1.0,,,
accuracy,1,1.0,True,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,,,,
completeness,1,1.0,True,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,,,,
accuracy,2,2.0,True,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,1.0,,,
completeness,2,2.0,True,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,1.0,,,
accuracy,1,1.0,True,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,,,,
completeness,1,1.0,True,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,,,,
accuracy,1,1.0,True,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,,,,
completeness,3,2.98,True,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,0.02,0.98,,
accuracy,2,2.0,True,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,1.0,,,
completeness,1,1.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,,,,
accuracy,2,2.38,False,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,0.62,0.38,,
completeness,2,2.0,True,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,1.0,,,
accuracy,1,1.0,True,1.0,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,,,,
completeness,4,3.95,True,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,,0.05,0.95,
accuracy,3,2.99,True,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,o3-mini,0.01,0.99,,
completeness,3,2.99,True,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,o3-mini,0.01,0.99,,
accuracy,1,1.0,True,1.0,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,claude-3-7-sonnet@20250219,,,,
completeness,2,1.85,False,0.15,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,claude-3-7-sonnet@20250219,0.85,,,
accuracy,1,1.0,True,1.0,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,o3-mini,,,,
completeness,1,1.01,True,0.99,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,o3-mini,0.01,,,
accuracy,1,1.0,True,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,,,,
completeness,1,1.0,True,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,,,,
accuracy,2,1.96,True,0.04,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,0.96,,,
completeness,1,1.32,False,0.68,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,0.32,,,
accuracy,2,2.0,True,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,1.0,,,
completeness,2,2.0,True,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,1.0,,,
accuracy,1,1.5,False,0.5,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,0.5,,,
completeness,1,1.44,False,0.56,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,0.44,,,
accuracy,1,1.18,False,0.82,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,0.18,,,
completeness,1,1.0,True,1.0,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,,,,
accuracy,2,1.9,False,0.1,GenerateBaseComponent,component_generation,,1,o3-mini,0.9,,,
completeness,2,1.85,False,0.15,GenerateBaseComponent,component_generation,,1,o3-mini,0.85,,,
accuracy,2,2.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
completeness,4,4.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,,1.0,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,,,,1.0
completeness,3,2.68,False,,GenerateReactApp,component_generation,,2,o3-mini,0.32,0.68,,
