metric,score,weighted_score,is_confident,score_4,score_5,scenario_id,scenario_name,category,score_3,repository,score_2,score_1
accuracy,4,4.04,True,0.96,0.04,1,generate_base_component,component_generation,,,,
completeness,4,4.05,True,0.92,0.05,1,generate_base_component,component_generation,0.04,,,
accuracy,4,4.04,True,0.96,0.04,2,generate_react_app,component_generation,,,,
completeness,5,5.0,True,,1.0,2,generate_react_app,component_generation,,,,
accuracy,5,5.0,True,,1.0,3,modify_react_app,component_generation,,,,
completeness,5,5.0,True,,1.0,3,modify_react_app,component_generation,,,,
accuracy,4,3.82,False,0.82,,4,write_tests_for_legacy_code,test_generation,0.18,angular_cosmo_page,,
completeness,2,1.97,True,,,4,write_tests_for_legacy_code,test_generation,,angular_cosmo_page,0.97,0.03
accuracy,5,5.0,True,,1.0,5,write_tests_for_legacy_code,test_generation,,todo_app_react,,
completeness,2,2.0,True,,,5,write_tests_for_legacy_code,test_generation,0.01,todo_app_react,0.98,0.01
accuracy,4,3.99,True,0.99,,6,write_tests_for_legacy_code,test_generation,0.01,react_sign_up,,
completeness,4,3.56,False,0.56,,6,write_tests_for_legacy_code,test_generation,0.44,react_sign_up,,
accuracy,5,5.0,True,,1.0,7,angular_to_react,solution_migration,,angular_cosmo_page,,
completeness,4,4.0,True,1.0,,7,angular_to_react,solution_migration,,angular_cosmo_page,,
accuracy,5,5.0,True,,1.0,08,react_to_angular,solution_migration,,todo_app_react,,
completeness,4,3.89,False,0.89,,08,react_to_angular,solution_migration,0.11,todo_app_react,,
accuracy,3,3.32,False,0.32,,09,react_to_angular,solution_migration,0.68,react_sign_up,,
completeness,4,3.99,True,0.99,,09,react_to_angular,solution_migration,0.01,react_sign_up,,
accuracy,5,4.82,False,0.18,0.82,10,update_angular,solution_migration,,todo_app_angular,,
completeness,4,3.78,False,0.78,,10,update_angular,solution_migration,0.22,todo_app_angular,,
accuracy,5,5.0,True,,1.0,11,update_react,solution_migration,,todo_app_react,,
completeness,5,5.0,True,,1.0,11,update_react,solution_migration,,todo_app_react,,
accuracy,5,5.0,True,,1.0,12,vanilla_to_react,solution_migration,,piano_native_js,,
completeness,4,3.88,False,0.88,,12,vanilla_to_react,solution_migration,0.12,piano_native_js,,
accuracy,5,5.0,True,,1.0,13,jquery_to_react,solution_migration,,todo_app_jquery,,
completeness,5,5.0,True,,1.0,13,jquery_to_react,solution_migration,,todo_app_jquery,,
accuracy,5,5.0,True,,1.0,14,business_functionality,solution_documentation,,angular_cosmo_page,,
completeness,5,5.0,True,,1.0,14,business_functionality,solution_documentation,,angular_cosmo_page,,
accuracy,4,4.0,True,1.0,,15,business_functionality,solution_documentation,,todo_app_react,,
completeness,5,5.0,True,,1.0,15,business_functionality,solution_documentation,,todo_app_react,,
accuracy,4,4.38,False,0.62,0.38,16,business_functionality,solution_documentation,,react_sign_up,,
completeness,5,5.0,True,,1.0,16,business_functionality,solution_documentation,,react_sign_up,,
accuracy,5,5.0,True,,1.0,17,describe_technical_implementation,code_explanation,,angular_cosmo_page,,
completeness,4,3.96,True,0.99,,17,describe_technical_implementation,code_explanation,,angular_cosmo_page,,
accuracy,5,5.0,True,,1.0,18,describe_technical_implementation,code_explanation,,todo_app_react,,
completeness,5,5.0,True,,1.0,18,describe_technical_implementation,code_explanation,,todo_app_react,,
accuracy,5,5.0,True,,1.0,19,describe_technical_implementation,code_explanation,,react_sign_up,,
completeness,3,2.99,True,,,19,describe_technical_implementation,code_explanation,0.99,react_sign_up,0.01,
accuracy,2,2.44,False,,,20,evaluate_code_quality,code_analysis,0.44,angular_cosmo_page,0.56,
completeness,5,5.0,True,,1.0,20,evaluate_code_quality,code_analysis,,angular_cosmo_page,,
accuracy,3,3.15,False,0.15,,21,evaluate_code_quality,code_analysis,0.85,todo_app_react,,
completeness,4,4.5,False,0.5,0.5,21,evaluate_code_quality,code_analysis,,todo_app_react,,
accuracy,4,3.99,True,0.99,,22,evaluate_code_quality,code_analysis,0.01,react_sign_up,,
completeness,4,3.87,False,0.9,,22,evaluate_code_quality,code_analysis,0.09,react_sign_up,,
accuracy,5,5.0,True,,1.0,23,write_tests_for_actual_code,test_generation,,react_select,,
completeness,3,2.89,False,0.01,,23,write_tests_for_actual_code,test_generation,0.87,react_select,0.12,
