metric,score,weighted_score,is_confident,score_5,score_4,scenario_id,scenario_name,category,score_3,score_2,repository,score_1
accuracy,5,4.68,False,0.68,0.32,1,generate_base_component,component_generation,,,,
completeness,4,4.0,True,,1.0,1,generate_base_component,component_generation,,,,
accuracy,4,4.0,True,,1.0,2,generate_react_app,component_generation,,,,
completeness,4,4.0,True,,1.0,2,generate_react_app,component_generation,,,,
accuracy,5,5.0,True,1.0,,3,modify_react_app,component_generation,,,,
completeness,5,5.0,True,1.0,,3,modify_react_app,component_generation,,,,
accuracy,3,2.87,False,,0.03,4,write_tests_for_legacy_code,test_generation,0.81,0.16,angular_cosmo_page,
completeness,2,1.96,True,,,4,write_tests_for_legacy_code,test_generation,,0.96,angular_cosmo_page,0.04
accuracy,5,5.0,True,1.0,,5,write_tests_for_legacy_code,test_generation,,,todo_app_react,
completeness,5,5.0,True,1.0,,5,write_tests_for_legacy_code,test_generation,,,todo_app_react,
accuracy,4,3.98,True,,0.98,6,write_tests_for_legacy_code,test_generation,0.02,,react_sign_up,
completeness,3,3.01,False,,0.06,6,write_tests_for_legacy_code,test_generation,0.89,0.05,react_sign_up,
accuracy,5,5.0,True,1.0,,7,angular_to_react,solution_migration,,,angular_cosmo_page,
completeness,5,5.0,True,1.0,,7,angular_to_react,solution_migration,,,angular_cosmo_page,
accuracy,5,4.78,False,0.78,0.22,08,react_to_angular,solution_migration,,,todo_app_react,
completeness,5,5.0,True,1.0,,08,react_to_angular,solution_migration,,,todo_app_react,
accuracy,5,5.0,True,1.0,,09,react_to_angular,solution_migration,,,react_sign_up,
completeness,4,4.0,True,,1.0,09,react_to_angular,solution_migration,,,react_sign_up,
accuracy,4,3.9,False,,0.9,10,update_angular,solution_migration,0.1,,todo_app_angular,
completeness,4,3.68,False,,0.68,10,update_angular,solution_migration,0.32,,todo_app_angular,
accuracy,5,5.0,True,1.0,,11,update_react,solution_migration,,,todo_app_react,
completeness,4,3.56,False,,0.56,11,update_react,solution_migration,0.44,,todo_app_react,
accuracy,4,4.03,True,0.03,0.97,12,vanilla_to_react,solution_migration,,,piano_native_js,
completeness,2,2.38,False,,,12,vanilla_to_react,solution_migration,0.38,0.62,piano_native_js,
accuracy,5,5.0,True,1.0,,13,jquery_to_react,solution_migration,,,todo_app_jquery,
completeness,4,3.68,False,,0.68,13,jquery_to_react,solution_migration,0.32,,todo_app_jquery,
accuracy,5,5.0,True,1.0,,14,business_functionality,solution_documentation,,,angular_cosmo_page,
completeness,1,1.27,False,,,14,business_functionality,solution_documentation,,0.27,angular_cosmo_page,0.73
accuracy,4,4.0,True,,1.0,15,business_functionality,solution_documentation,,,todo_app_react,
completeness,4,4.01,True,0.01,0.99,15,business_functionality,solution_documentation,,,todo_app_react,
accuracy,4,4.06,True,0.06,0.94,16,business_functionality,solution_documentation,,,react_sign_up,
completeness,4,4.18,False,0.18,0.82,16,business_functionality,solution_documentation,,,react_sign_up,
accuracy,5,5.0,True,1.0,,17,describe_technical_implementation,code_explanation,,,angular_cosmo_page,
completeness,3,3.5,False,,0.5,17,describe_technical_implementation,code_explanation,0.5,,angular_cosmo_page,
accuracy,5,5.0,True,1.0,,18,describe_technical_implementation,code_explanation,,,todo_app_react,
completeness,4,3.84,False,,0.84,18,describe_technical_implementation,code_explanation,0.16,,todo_app_react,
accuracy,2,2.44,False,,,19,describe_technical_implementation,code_explanation,0.44,0.56,react_sign_up,
completeness,1,1.22,False,,,19,describe_technical_implementation,code_explanation,,0.22,react_sign_up,0.78
accuracy,3,3.38,False,,0.38,20,evaluate_code_quality,code_analysis,0.62,,angular_cosmo_page,
completeness,5,5.0,True,1.0,,20,evaluate_code_quality,code_analysis,,,angular_cosmo_page,
accuracy,4,3.96,True,,0.99,21,evaluate_code_quality,code_analysis,,,todo_app_react,
completeness,5,5.0,True,1.0,,21,evaluate_code_quality,code_analysis,,,todo_app_react,
accuracy,5,5.0,True,1.0,,22,evaluate_code_quality,code_analysis,,,react_sign_up,
completeness,3,3.29,False,,0.29,22,evaluate_code_quality,code_analysis,0.71,,react_sign_up,
accuracy,5,5.0,True,1.0,,23,write_tests_for_actual_code,test_generation,,,react_select,
completeness,5,5.0,True,1.0,,23,write_tests_for_actual_code,test_generation,,,react_select,
