metric,score,weighted_score,is_confident,score_4,category,experiment,repository,scenario_id,model,score_5,score_3,score_2,score_1
accuracy,4,4.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,,,,
completeness,5,5.0,True,,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,1.0,,,
accuracy,4,4.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,,,,
completeness,5,5.0,True,,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,1.0,,,
accuracy,5,5.0,True,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,5.0,True,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,1.0,,,
accuracy,5,5.0,True,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,1.0,,,
completeness,5,5.0,True,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,1.0,,,
accuracy,5,5.0,True,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,5.0,True,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,1.0,,,
accuracy,4,4.0,True,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,,,,
completeness,4,3.68,False,0.68,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,,0.32,,
accuracy,3,3.0,True,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,,1.0,,
completeness,5,5.0,True,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,1.0,,,
accuracy,4,3.92,True,0.92,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,,0.08,,
completeness,5,5.0,True,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,1.0,,,
accuracy,5,5.0,True,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,5.0,True,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,1.0,,,
accuracy,5,5.0,True,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,o3-mini,1.0,,,
completeness,4,4.22,False,0.78,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,o3-mini,0.22,,,
accuracy,4,4.0,True,1.0,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,claude-3-7-sonnet@20250219,,,,
completeness,4,4.44,False,0.56,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,claude-3-7-sonnet@20250219,0.44,,,
accuracy,5,4.96,True,0.04,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,o3-mini,0.96,,,
completeness,4,4.0,True,1.0,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,o3-mini,,,,
accuracy,5,5.0,True,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,1.0,,,
completeness,4,4.18,False,0.82,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,0.18,,,
accuracy,5,5.0,True,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,1.0,,,
completeness,5,5.0,True,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,1.0,,,
