metric,score,weighted_score,is_confident,score_4,score_5,category,experiment,repository,scenario_id,model,score_2,score_3
accuracy,4,4.22,False,0.78,0.22,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,,
accuracy,4,4.15,False,0.85,0.15,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,,
completeness,5,5.0,True,,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,,
accuracy,5,5.0,True,,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,,
accuracy,5,5.0,True,,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,,
completeness,5,5.0,True,,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,,
accuracy,5,5.0,True,,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,,
accuracy,4,4.44,False,0.56,0.44,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,,
completeness,5,4.88,False,0.12,0.88,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,,
accuracy,4,4.0,True,1.0,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,,
accuracy,5,5.0,True,,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,,
completeness,5,5.0,True,,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,,
accuracy,5,5.0,True,,1.0,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,,
accuracy,5,5.0,True,,1.0,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,o3-mini,,
completeness,5,5.0,True,,1.0,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,o3-mini,,
accuracy,5,5.0,True,,1.0,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,claude-3-7-sonnet@20250219,,
accuracy,5,5.0,True,,1.0,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,o3-mini,,
completeness,5,4.99,True,0.01,0.99,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,o3-mini,,
accuracy,5,5.0,True,,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,,
accuracy,5,5.0,True,,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,,
completeness,5,5.0,True,,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,,
accuracy,5,5.0,True,,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,,
accuracy,5,5.0,True,,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,,
completeness,4,4.04,True,0.96,0.04,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,,
accuracy,5,5.0,True,,1.0,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,,
accuracy,5,5.0,True,,1.0,GenerateBaseComponent,component_generation,,1,o3-mini,,
completeness,5,5.0,True,,1.0,GenerateBaseComponent,component_generation,,1,o3-mini,,
accuracy,5,5.0,True,,1.0,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,
accuracy,5,5.0,True,,1.0,GenerateReactApp,component_generation,,2,o3-mini,,
completeness,5,5.0,True,,1.0,GenerateReactApp,component_generation,,2,o3-mini,,
accuracy,5,5.0,True,,1.0,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,,
accuracy,5,5.0,True,,1.0,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,,
completeness,5,4.88,False,0.12,0.88,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,,
accuracy,5,5.0,True,,1.0,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,claude-3-7-sonnet@20250219,,
