Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,Gemini_20_Flash_Think_0121,ToDoApp_ReactJS,high,avg,1,4088,0,7040,34.74,3.78,3.51,4.0,4.0,3.56,3.02
code_translation,solution_migration,jQueryToReact,jQuery,Gemini_20_Flash_Think_0121,ToDoApp_jQuery,high,low,1,2982,0,4203,20.77,3.98,2.52,3.95,1.03,4.0,4.0
code_translation,solution_migration,AngularToReact,Angular,Gemini_20_Flash_Think_0121,AngularCosmoPage,avg,high,1,6712,0,7168,27.21,0.0,3.94,0.0,3.88,0.0,4.0
code_translation,solution_migration,UpdateReact,React,Gemini_20_Flash_Think_0121,ToDoApp_ReactJS,high,avg,1,4067,0,6298,28.17,3.0,4.0,3.0,4.0,3.0,4.0
code_translation,solution_migration,UpdateAngular,Angular,Gemini_20_Flash_Think_0121,ToDoApp_AngularJS,avg,avg_2,1,2825,0,6153,31.31,4.0,3.56,4.0,4.0,4.0,3.12
code_translation,solution_migration,ReactToAngular,React,Gemini_20_Flash_Think_0121,ReactSignUp,high,low,1,1678,0,3281,18.17,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,VanillaToReact,NativeJS,Gemini_20_Flash_Think_0121,Piano_NativeJS,high,low,1,1865,0,3047,15.66,1.98,3.19,1.18,2.38,2.78,4.0
code_generation,component_generation,ModifyReactApp,React,Gemini_20_Flash_Think_0121,ReactFetchAPI,avg,low,1,614,0,952,9.15,3.59,3.19,4.0,3.38,3.18,3.0
code_generation,component_generation,GenerateBaseComponent,none,Gemini_20_Flash_Think_0121,none,none,none,1,291,0,2606,15.28,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateReactApp,none,Gemini_20_Flash_Think_0121,none,none,none,1,288,0,834,9.35,3.5,4.0,3.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,Gemini_20_Flash_Think_0121,ReactSignUp,high,low,1,1657,0,3250,17.21,4.0,3.97,4.0,3.95,3.99,3.99
code_generation,test_generation,WriteTestsForLegacyCode,React,Gemini_20_Flash_Think_0121,ToDoApp_ReactJS,high,avg,1,4082,0,6570,32.86,3.94,1.69,4.0,2.0,3.88,1.38
code_generation,test_generation,WriteTestsForLegacyCode,Angular,Gemini_20_Flash_Think_0121,AngularCosmoPage,avg,high,1,6587,0,6900,30.24,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForActualCode,React,Gemini_20_Flash_Think_0121,ReactSelect,extra_high,high,1,18451,0,6674,32.17,4.0,3.04,4.0,3.07,4.0,3.0
code_generation,solution_template_generation,GenerateProjectConfiguration,none,Gemini_20_Flash_Think_0121,none,none,none,1,273,0,2715,14.77,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Gemini_20_Flash_Think_0121,ReactSignUp,high,low,1,1623,0,6664,37.23,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Gemini_20_Flash_Think_0121,ToDoApp_ReactJS,high,avg,1,4029,0,6427,36.19,3.0,2.1,3.0,2.18,3.0,2.02
code_documentation,code_analysis,EvaluateCodeQuality,Angular,Gemini_20_Flash_Think_0121,AngularCosmoPage,avg,high,1,6558,0,7034,39.85,2.0,1.0,0.0,0.0,4.0,2.0
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,Gemini_20_Flash_Think_0121,AngularCosmoPage,avg,high,1,6506,0,5782,36.56,4.0,3.5,4.0,3.05,4.0,3.96
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Gemini_20_Flash_Think_0121,ReactSignUp,high,low,1,1601,0,3021,23.0,0.5,1.0,0.0,0.99,1.0,1.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Gemini_20_Flash_Think_0121,ToDoApp_ReactJS,high,avg,1,3990,0,7514,30.6,3.5,3.5,4.0,3.0,3.01,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,Gemini_20_Flash_Think_0121,ReactSignUp,high,low,1,1572,0,4011,32.12,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,Gemini_20_Flash_Think_0121,ToDoApp_ReactJS,high,avg,1,3946,0,5455,27.01,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,Angular,Gemini_20_Flash_Think_0121,AngularCosmoPage,avg,high,1,6500,0,6662,39.53,4.0,4.0,4.0,4.0,4.0,4.0
