metric,score,weighted_score,is_confident,score_3,category,experiment,repository,scenario_id,model,score_4,score_2,score_5,score_1
accuracy,3,3.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,,,,
completeness,3,3.01,True,0.99,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,0.01,,,
accuracy,3,3.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,,,,
completeness,2,2.02,True,0.02,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,,0.98,,
accuracy,5,5.0,True,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,,,1.0,
completeness,5,5.0,True,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,,,1.0,
accuracy,5,4.82,False,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,0.18,,0.82,
completeness,5,5.0,True,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,,,1.0,
accuracy,4,4.0,True,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,1.0,,,
completeness,3,3.01,True,0.99,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,0.01,,,
accuracy,4,4.0,True,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,1.0,,,
completeness,1,1.02,True,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,,0.02,,0.98
accuracy,4,4.32,False,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,0.68,,0.32,
completeness,5,5.0,True,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,,,1.0,
accuracy,5,4.85,False,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,0.15,,0.85,
completeness,5,4.85,False,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,0.15,,0.85,
accuracy,4,4.0,True,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,5.0,True,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,,,1.0,
accuracy,5,5.0,True,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,o3-mini,,,1.0,
completeness,3,2.94,True,0.94,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,o3-mini,,0.06,,
accuracy,5,5.0,True,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,claude-3-7-sonnet@20250219,,,1.0,
completeness,5,5.0,True,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,claude-3-7-sonnet@20250219,,,1.0,
accuracy,5,5.0,True,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,o3-mini,,,1.0,
completeness,5,5.0,True,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,o3-mini,,,1.0,
accuracy,5,5.0,True,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,,,1.0,
completeness,5,5.0,True,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,,,1.0,
accuracy,4,4.01,True,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,0.99,,0.01,
completeness,4,4.0,True,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,1.0,,,
accuracy,4,4.08,True,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,0.92,,0.08,
completeness,5,5.0,True,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,,,1.0,
accuracy,4,3.99,True,0.01,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,0.99,,,
completeness,5,5.0,True,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,,,1.0,
accuracy,5,5.0,True,,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,,,1.0,
completeness,5,5.0,True,,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,,,1.0,
accuracy,5,5.0,True,,GenerateBaseComponent,component_generation,,1,o3-mini,,,1.0,
completeness,5,5.0,True,,GenerateBaseComponent,component_generation,,1,o3-mini,,,1.0,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,,1.0,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,,1.0,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,,,1.0,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,,,1.0,
accuracy,5,5.0,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,,,1.0,
completeness,3,3.0,True,1.0,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,,,,
accuracy,4,4.01,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,0.99,,0.01,
completeness,3,3.0,True,1.0,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,,,,
accuracy,4,4.0,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,claude-3-7-sonnet@20250219,1.0,,,
completeness,2,2.0,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,claude-3-7-sonnet@20250219,,1.0,,
accuracy,4,4.0,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,o3-mini,1.0,,,
completeness,2,2.02,True,0.02,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,o3-mini,,0.98,,
accuracy,5,5.0,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,claude-3-7-sonnet@20250219,,,1.0,
completeness,5,4.94,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,claude-3-7-sonnet@20250219,0.06,,0.94,
accuracy,5,5.0,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,o3-mini,,,1.0,
completeness,4,4.18,False,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,o3-mini,0.82,,0.18,
accuracy,5,5.0,True,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,claude-3-7-sonnet@20250219,,,1.0,
completeness,4,3.68,False,0.32,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,claude-3-7-sonnet@20250219,0.68,,,
accuracy,4,4.5,False,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,o3-mini,0.5,,0.5,
completeness,3,2.68,False,0.68,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,o3-mini,,0.32,,
accuracy,5,5.0,True,,GenerateProjectConfiguration,solution_template_generation,,24,claude-3-7-sonnet@20250219,,,1.0,
completeness,5,5.0,True,,GenerateProjectConfiguration,solution_template_generation,,24,claude-3-7-sonnet@20250219,,,1.0,
