metric,score,weighted_score,is_confident,score_5,scenario_id,scenario_name,category,score_4,repository,score_2,score_1,score_3
accuracy,5,5.0,True,1.0,3,modify_react_app,component_generation,,,,,
completeness,5,5.0,True,1.0,3,modify_react_app,component_generation,,,,,
accuracy,4,4.27,False,0.27,4,write_tests_for_legacy_code,test_generation,0.73,angular_cosmo_page,,,
completeness,2,2.0,True,,4,write_tests_for_legacy_code,test_generation,,angular_cosmo_page,0.98,0.01,0.01
accuracy,5,5.0,True,1.0,5,write_tests_for_legacy_code,test_generation,,todo_app_react,,,
completeness,5,5.0,True,1.0,5,write_tests_for_legacy_code,test_generation,,todo_app_react,,,
accuracy,5,5.0,True,1.0,2,generate_react_app,component_generation,,,,,
completeness,4,4.05,True,0.05,2,generate_react_app,component_generation,0.95,,,,
accuracy,5,5.0,True,1.0,20,evaluate_code_quality,code_analysis,,angular_cosmo_page,,,
completeness,5,5.0,True,1.0,20,evaluate_code_quality,code_analysis,,angular_cosmo_page,,,
accuracy,5,5.0,True,1.0,18,describe_technical_implementation,code_explanation,,todo_app_react,,,
completeness,5,5.0,True,1.0,18,describe_technical_implementation,code_explanation,,todo_app_react,,,
accuracy,5,5.0,True,1.0,11,update_react,solution_migration,,todo_app_react,,,
completeness,5,5.0,True,1.0,11,update_react,solution_migration,,todo_app_react,,,
accuracy,4,4.44,False,0.44,16,business_functionality,solution_documentation,0.56,react_sign_up,,,
completeness,5,5.0,True,1.0,16,business_functionality,solution_documentation,,react_sign_up,,,
accuracy,5,5.0,True,1.0,17,describe_technical_implementation,code_explanation,,angular_cosmo_page,,,
completeness,3,3.52,False,,17,describe_technical_implementation,code_explanation,0.5,angular_cosmo_page,0.01,,0.5
accuracy,4,4.06,True,0.06,10,update_angular,solution_migration,0.94,todo_app_angular,,,
completeness,5,5.0,True,1.0,10,update_angular,solution_migration,,todo_app_angular,,,
accuracy,5,5.0,True,1.0,19,describe_technical_implementation,code_explanation,,react_sign_up,,,
completeness,5,5.0,True,1.0,19,describe_technical_implementation,code_explanation,,react_sign_up,,,
accuracy,5,5.0,True,1.0,21,evaluate_code_quality,code_analysis,,todo_app_react,,,
completeness,5,5.0,True,1.0,21,evaluate_code_quality,code_analysis,,todo_app_react,,,
accuracy,5,5.0,True,1.0,7,angular_to_react,solution_migration,,angular_cosmo_page,,,
completeness,5,5.0,True,1.0,7,angular_to_react,solution_migration,,angular_cosmo_page,,,
accuracy,5,5.0,True,1.0,09,react_to_angular,solution_migration,,react_sign_up,,,
completeness,4,4.01,True,0.01,09,react_to_angular,solution_migration,0.99,react_sign_up,,,
accuracy,5,5.0,True,1.0,08,react_to_angular,solution_migration,,todo_app_react,,,
completeness,5,5.0,True,1.0,08,react_to_angular,solution_migration,,todo_app_react,,,
accuracy,5,5.0,True,1.0,1,generate_base_component,component_generation,,,,,
completeness,5,5.0,True,1.0,1,generate_base_component,component_generation,,,,,
accuracy,5,4.82,False,0.82,6,write_tests_for_legacy_code,test_generation,0.18,react_sign_up,,,
completeness,4,4.15,False,0.15,6,write_tests_for_legacy_code,test_generation,0.85,react_sign_up,,,
accuracy,5,5.0,True,1.0,23,write_tests_for_actual_code,test_generation,,react_select,,,
completeness,5,5.0,True,1.0,23,write_tests_for_actual_code,test_generation,,react_select,,,
accuracy,5,5.0,True,1.0,15,business_functionality,solution_documentation,,todo_app_react,,,
completeness,5,5.0,True,1.0,15,business_functionality,solution_documentation,,todo_app_react,,,
accuracy,5,5.0,True,1.0,12,vanilla_to_react,solution_migration,,piano_native_js,,,
completeness,5,5.0,True,1.0,12,vanilla_to_react,solution_migration,,piano_native_js,,,
accuracy,5,5.0,True,1.0,13,jquery_to_react,solution_migration,,todo_app_jquery,,,
completeness,5,5.0,True,1.0,13,jquery_to_react,solution_migration,,todo_app_jquery,,,
accuracy,5,5.0,True,1.0,14,business_functionality,solution_documentation,,angular_cosmo_page,,,
completeness,5,5.0,True,1.0,14,business_functionality,solution_documentation,,angular_cosmo_page,,,
accuracy,5,5.0,True,1.0,22,evaluate_code_quality,code_analysis,,react_sign_up,,,
completeness,5,5.0,True,1.0,22,evaluate_code_quality,code_analysis,,react_sign_up,,,
