metric,score,weighted_score,is_confident,score_5,scenario_id,scenario_name,category,score_4,score_3,repository,score_2
accuracy,5,5.0,True,1.0,1,generate_base_component,component_generation,,,,
completeness,4,4.0,True,,1,generate_base_component,component_generation,1.0,,,
accuracy,4,3.99,True,,2,generate_react_app,component_generation,0.99,0.01,,
completeness,5,5.0,True,1.0,2,generate_react_app,component_generation,,,,
accuracy,5,5.0,True,1.0,3,modify_react_app,component_generation,,,,
completeness,4,4.01,True,0.01,3,modify_react_app,component_generation,0.99,,,
accuracy,5,4.92,True,0.92,4,write_tests_for_legacy_code,test_generation,0.08,,angular_cosmo_page,
completeness,3,3.09,False,,4,write_tests_for_legacy_code,test_generation,0.12,0.85,angular_cosmo_page,0.03
accuracy,4,4.02,True,0.02,5,write_tests_for_legacy_code,test_generation,0.98,,todo_app_react,
completeness,5,4.68,False,0.68,5,write_tests_for_legacy_code,test_generation,0.32,,todo_app_react,
accuracy,4,4.06,True,0.06,6,write_tests_for_legacy_code,test_generation,0.94,,react_sign_up,
completeness,5,4.85,False,0.85,6,write_tests_for_legacy_code,test_generation,0.15,,react_sign_up,
accuracy,5,5.0,True,1.0,7,angular_to_react,solution_migration,,,angular_cosmo_page,
completeness,5,5.0,True,1.0,7,angular_to_react,solution_migration,,,angular_cosmo_page,
accuracy,5,5.0,True,1.0,08,react_to_angular,solution_migration,,,todo_app_react,
completeness,5,5.0,True,1.0,08,react_to_angular,solution_migration,,,todo_app_react,
accuracy,5,4.94,True,0.94,09,react_to_angular,solution_migration,0.06,,react_sign_up,
completeness,5,5.0,True,1.0,09,react_to_angular,solution_migration,,,react_sign_up,
accuracy,4,4.32,False,0.32,10,update_angular,solution_migration,0.68,,todo_app_angular,
completeness,4,4.0,True,,10,update_angular,solution_migration,1.0,,todo_app_angular,
accuracy,5,5.0,True,1.0,11,update_react,solution_migration,,,todo_app_react,
completeness,5,5.0,True,1.0,11,update_react,solution_migration,,,todo_app_react,
accuracy,5,5.0,True,1.0,12,vanilla_to_react,solution_migration,,,piano_native_js,
completeness,5,5.0,True,1.0,12,vanilla_to_react,solution_migration,,,piano_native_js,
accuracy,5,5.0,True,1.0,13,jquery_to_react,solution_migration,,,todo_app_jquery,
completeness,5,5.0,True,1.0,13,jquery_to_react,solution_migration,,,todo_app_jquery,
accuracy,3,2.97,True,,14,business_functionality,solution_documentation,,0.99,angular_cosmo_page,
completeness,5,5.0,True,1.0,14,business_functionality,solution_documentation,,,angular_cosmo_page,
accuracy,5,5.0,True,1.0,15,business_functionality,solution_documentation,,,todo_app_react,
completeness,5,5.0,True,1.0,15,business_functionality,solution_documentation,,,todo_app_react,
accuracy,3,3.5,False,,16,business_functionality,solution_documentation,0.5,0.5,react_sign_up,
completeness,5,5.0,True,1.0,16,business_functionality,solution_documentation,,,react_sign_up,
accuracy,5,5.0,True,1.0,17,describe_technical_implementation,code_explanation,,,angular_cosmo_page,
completeness,5,5.0,True,1.0,17,describe_technical_implementation,code_explanation,,,angular_cosmo_page,
accuracy,5,5.0,True,1.0,18,describe_technical_implementation,code_explanation,,,todo_app_react,
completeness,5,5.0,True,1.0,18,describe_technical_implementation,code_explanation,,,todo_app_react,
accuracy,5,5.0,True,1.0,19,describe_technical_implementation,code_explanation,,,react_sign_up,
completeness,4,3.85,False,,19,describe_technical_implementation,code_explanation,0.85,0.15,react_sign_up,
accuracy,3,3.02,True,,20,evaluate_code_quality,code_analysis,0.03,0.96,angular_cosmo_page,0.01
completeness,5,5.0,True,1.0,20,evaluate_code_quality,code_analysis,,,angular_cosmo_page,
accuracy,4,3.99,True,,21,evaluate_code_quality,code_analysis,0.99,0.01,todo_app_react,
completeness,5,5.0,True,1.0,21,evaluate_code_quality,code_analysis,,,todo_app_react,
accuracy,5,5.0,True,1.0,22,evaluate_code_quality,code_analysis,,,react_sign_up,
completeness,5,5.0,True,1.0,22,evaluate_code_quality,code_analysis,,,react_sign_up,
accuracy,5,5.0,True,1.0,23,write_tests_for_actual_code,test_generation,,,react_select,
completeness,3,2.96,True,,23,write_tests_for_actual_code,test_generation,0.01,0.94,react_select,0.05
