metric,score,weighted_score,is_confident,score_5,score_4,scenario_id,scenario_name,category,score_3,score_2,repository,score_1
accuracy,5,4.82,False,0.82,0.18,1,generate_base_component,component_generation,,,,
completeness,3,2.68,False,,,1,generate_base_component,component_generation,0.68,0.32,,
accuracy,4,4.0,True,,1.0,2,generate_react_app,component_generation,,,,
completeness,4,4.0,True,,1.0,2,generate_react_app,component_generation,,,,
accuracy,4,4.04,True,0.04,0.96,3,modify_react_app,component_generation,,,,
completeness,3,3.01,True,,0.01,3,modify_react_app,component_generation,0.99,,,
accuracy,3,2.98,True,,0.01,4,write_tests_for_legacy_code,test_generation,0.96,0.03,angular_cosmo_page,
completeness,1,1.27,False,,,4,write_tests_for_legacy_code,test_generation,,0.27,angular_cosmo_page,0.73
accuracy,3,2.9,False,,0.02,5,write_tests_for_legacy_code,test_generation,0.84,0.15,todo_app_react,
completeness,2,1.73,False,,,5,write_tests_for_legacy_code,test_generation,,0.73,todo_app_react,0.27
accuracy,3,3.07,True,,0.07,6,write_tests_for_legacy_code,test_generation,0.93,,react_sign_up,
completeness,1,1.32,False,,,6,write_tests_for_legacy_code,test_generation,,0.32,react_sign_up,0.68
accuracy,5,5.0,True,1.0,,7,angular_to_react,solution_migration,,,angular_cosmo_page,
completeness,1,1.0,True,,,7,angular_to_react,solution_migration,,,angular_cosmo_page,1.0
accuracy,5,4.98,True,0.98,0.02,08,react_to_angular,solution_migration,,,todo_app_react,
completeness,5,5.0,True,1.0,,08,react_to_angular,solution_migration,,,todo_app_react,
accuracy,5,5.0,True,1.0,,09,react_to_angular,solution_migration,,,react_sign_up,
completeness,3,3.2,False,,0.2,09,react_to_angular,solution_migration,0.8,,react_sign_up,
accuracy,3,3.08,True,,0.08,10,update_angular,solution_migration,0.92,,todo_app_angular,
completeness,2,1.89,False,,,10,update_angular,solution_migration,,0.89,todo_app_angular,0.11
accuracy,3,3.22,False,,0.24,11,update_react,solution_migration,0.74,0.02,todo_app_react,
completeness,4,4.05,True,0.02,0.98,11,update_react,solution_migration,0.01,,todo_app_react,
accuracy,5,5.0,True,1.0,,12,vanilla_to_react,solution_migration,,,piano_native_js,
completeness,5,5.0,True,1.0,,12,vanilla_to_react,solution_migration,,,piano_native_js,
accuracy,4,4.01,True,0.01,0.99,13,jquery_to_react,solution_migration,,,todo_app_jquery,
completeness,1,1.01,True,,,13,jquery_to_react,solution_migration,,0.01,todo_app_jquery,0.99
accuracy,5,5.0,True,1.0,,14,business_functionality,solution_documentation,,,angular_cosmo_page,
completeness,5,5.0,True,1.0,,14,business_functionality,solution_documentation,,,angular_cosmo_page,
accuracy,4,4.0,True,,1.0,15,business_functionality,solution_documentation,,,todo_app_react,
completeness,4,3.9,False,,0.9,15,business_functionality,solution_documentation,0.1,,todo_app_react,
accuracy,5,5.0,True,1.0,,16,business_functionality,solution_documentation,,,react_sign_up,
completeness,5,5.0,True,1.0,,16,business_functionality,solution_documentation,,,react_sign_up,
accuracy,5,5.0,True,1.0,,17,describe_technical_implementation,code_explanation,,,angular_cosmo_page,
completeness,3,2.9,False,,,17,describe_technical_implementation,code_explanation,0.9,0.1,angular_cosmo_page,
accuracy,5,5.0,True,1.0,,18,describe_technical_implementation,code_explanation,,,todo_app_react,
completeness,4,3.98,True,,0.98,18,describe_technical_implementation,code_explanation,0.02,,todo_app_react,
accuracy,5,5.0,True,1.0,,19,describe_technical_implementation,code_explanation,,,react_sign_up,
completeness,3,3.0,True,,,19,describe_technical_implementation,code_explanation,1.0,,react_sign_up,
accuracy,3,2.95,True,,,20,evaluate_code_quality,code_analysis,0.95,0.05,angular_cosmo_page,
completeness,5,4.62,False,0.62,0.38,20,evaluate_code_quality,code_analysis,,,angular_cosmo_page,
accuracy,4,3.95,True,,0.95,21,evaluate_code_quality,code_analysis,0.05,,todo_app_react,
completeness,4,4.27,False,0.27,0.73,21,evaluate_code_quality,code_analysis,,,todo_app_react,
accuracy,4,3.78,False,,0.78,22,evaluate_code_quality,code_analysis,0.22,,react_sign_up,
completeness,3,2.96,True,,0.02,22,evaluate_code_quality,code_analysis,0.92,0.06,react_sign_up,
accuracy,3,2.78,False,,,23,write_tests_for_actual_code,test_generation,0.78,0.22,react_select,
completeness,2,1.96,True,,,23,write_tests_for_actual_code,test_generation,,0.96,react_select,0.04
