metric,score,weighted_score,is_confident,score_4,score_3,category,experiment,repository,scenario_id,model,score_2,score_5,score_1
accuracy,4,3.73,False,0.73,0.27,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,,,
completeness,2,2.0,True,,,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,1.0,,
accuracy,4,4.5,False,0.5,,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,,0.5,
completeness,2,2.1,False,,0.1,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,0.9,,
accuracy,4,3.99,True,0.99,0.01,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,,,
completeness,5,5.0,True,,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,,1.0,
accuracy,3,3.06,True,0.06,0.94,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,,,
completeness,2,2.0,True,,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,1.0,,
accuracy,4,4.0,True,1.0,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,,,
completeness,1,1.01,True,,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,0.01,,0.99
accuracy,4,4.38,False,0.62,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,,0.38,
completeness,1,1.02,True,,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,0.02,,0.98
accuracy,3,3.0,True,,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,,,
completeness,5,4.99,True,0.01,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,,0.99,
accuracy,4,3.82,False,0.82,0.18,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,,,
completeness,5,4.98,True,0.02,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,,0.98,
accuracy,5,5.0,True,,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,,1.0,
completeness,5,5.0,True,,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,,1.0,
accuracy,5,5.0,True,,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,o3-mini,,1.0,
completeness,5,5.0,True,,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,o3-mini,,1.0,
accuracy,4,4.0,True,1.0,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,claude-3-7-sonnet@20250219,,,
completeness,3,2.98,True,,0.98,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,claude-3-7-sonnet@20250219,0.02,,
accuracy,3,3.12,False,0.12,0.88,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,o3-mini,,,
completeness,3,3.0,True,,1.0,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,o3-mini,,,
accuracy,5,5.0,True,,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,,1.0,
completeness,5,5.0,True,,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,,1.0,
accuracy,5,5.0,True,,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,,1.0,
completeness,4,3.78,False,0.78,0.22,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,,,
accuracy,5,5.0,True,,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,,1.0,
completeness,4,4.0,True,1.0,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,,,
accuracy,5,5.0,True,,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,,1.0,
