metric,score,weighted_score,is_confident,score_5,scenario_id,scenario_name,category,score_4,score_3,score_2,repository,score_1
accuracy,5,5.0,True,1.0,1,generate_base_component,component_generation,,,,,
completeness,4,3.98,True,,1,generate_base_component,component_generation,0.98,0.02,,,
accuracy,5,4.99,True,0.99,2,generate_react_app,component_generation,0.01,,,,
completeness,4,4.01,True,0.01,2,generate_react_app,component_generation,0.99,,,,
accuracy,5,5.0,True,1.0,3,modify_react_app,component_generation,,,,,
completeness,5,5.0,True,1.0,3,modify_react_app,component_generation,,,,,
accuracy,3,2.96,True,,4,write_tests_for_legacy_code,test_generation,,0.98,0.01,angular_cosmo_page,
completeness,3,3.0,True,,4,write_tests_for_legacy_code,test_generation,0.01,0.98,0.01,angular_cosmo_page,
accuracy,3,3.08,True,,5,write_tests_for_legacy_code,test_generation,0.08,0.92,,todo_app_react,
completeness,4,3.78,False,,5,write_tests_for_legacy_code,test_generation,0.78,0.22,,todo_app_react,
accuracy,4,4.08,True,0.08,6,write_tests_for_legacy_code,test_generation,0.92,,,react_sign_up,
completeness,4,4.0,True,,6,write_tests_for_legacy_code,test_generation,1.0,,,react_sign_up,
accuracy,5,5.0,True,1.0,7,angular_to_react,solution_migration,,,,angular_cosmo_page,
completeness,4,4.01,True,0.01,7,angular_to_react,solution_migration,0.99,,,angular_cosmo_page,
accuracy,5,5.0,True,1.0,08,react_to_angular,solution_migration,,,,todo_app_react,
completeness,4,3.96,True,,08,react_to_angular,solution_migration,0.96,0.04,,todo_app_react,
accuracy,3,3.04,True,,09,react_to_angular,solution_migration,0.04,0.96,,react_sign_up,
completeness,4,3.94,True,,09,react_to_angular,solution_migration,0.94,0.06,,react_sign_up,
accuracy,5,4.82,False,0.82,10,update_angular,solution_migration,0.18,,,todo_app_angular,
completeness,2,2.44,False,,10,update_angular,solution_migration,,0.44,0.56,todo_app_angular,
accuracy,5,5.0,True,1.0,11,update_react,solution_migration,,,,todo_app_react,
completeness,3,3.01,True,,11,update_react,solution_migration,0.01,0.99,,todo_app_react,
accuracy,5,5.0,True,1.0,12,vanilla_to_react,solution_migration,,,,piano_js,
completeness,5,5.0,True,1.0,12,vanilla_to_react,solution_migration,,,,piano_js,
accuracy,5,5.0,True,1.0,13,jquery_to_react,solution_migration,,,,todo_app_jquery,
completeness,2,1.99,True,,13,jquery_to_react,solution_migration,,0.01,0.98,todo_app_jquery,
accuracy,2,1.99,True,,14,business_functionality,solution_documentation,,,0.99,angular_cosmo_page,0.01
completeness,1,1.0,True,,14,business_functionality,solution_documentation,,,,angular_cosmo_page,1.0
accuracy,3,3.05,True,,15,business_functionality,solution_documentation,0.05,0.95,,todo_app_react,
completeness,4,4.0,True,,15,business_functionality,solution_documentation,1.0,,,todo_app_react,
accuracy,2,2.12,False,,16,business_functionality,solution_documentation,,0.12,0.88,react_sign_up,
completeness,5,5.0,True,1.0,16,business_functionality,solution_documentation,,,,react_sign_up,
accuracy,5,5.0,True,1.0,17,describe_technical_implementation,code_explanation,,,,angular_cosmo_page,
completeness,3,3.01,True,,17,describe_technical_implementation,code_explanation,0.01,0.99,,angular_cosmo_page,
accuracy,5,5.0,True,1.0,18,describe_technical_implementation,code_explanation,,,,todo_app_react,
completeness,4,4.0,True,,18,describe_technical_implementation,code_explanation,1.0,,,todo_app_react,
accuracy,5,5.0,True,1.0,19,describe_technical_implementation,code_explanation,,,,react_sign_up,
completeness,3,2.9,False,,19,describe_technical_implementation,code_explanation,0.02,0.86,0.12,react_sign_up,
accuracy,3,2.99,True,,20,evaluate_code_quality,code_analysis,,0.99,0.01,angular_cosmo_page,
completeness,5,5.0,True,1.0,20,evaluate_code_quality,code_analysis,,,,angular_cosmo_page,
accuracy,4,4.1,False,0.1,21,evaluate_code_quality,code_analysis,0.9,,,todo_app_react,
completeness,4,4.15,False,0.15,21,evaluate_code_quality,code_analysis,0.85,,,todo_app_react,
accuracy,4,3.96,True,,22,evaluate_code_quality,code_analysis,0.96,0.04,,react_sign_up,
completeness,4,3.86,False,0.01,22,evaluate_code_quality,code_analysis,0.84,0.15,,react_sign_up,
accuracy,4,3.78,False,,23,write_tests_for_actual_code,test_generation,0.78,0.22,,react_select,
completeness,3,2.94,True,,23,write_tests_for_actual_code,test_generation,,0.94,0.06,react_select,
