metric,score,weighted_score,is_confident,score_4,score_3,score_5,category,experiment,repository,scenario_id,score_1,score_2
accuracy,4,3.96,True,0.94,0.05,0.01,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,,
completeness,5,5.0,True,,,1.0,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,,
accuracy,4,4.5,False,0.5,,0.5,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,,
completeness,5,4.78,False,0.22,,0.78,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,,
accuracy,5,5.0,True,,,1.0,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,,
completeness,5,5.0,True,,,1.0,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,,
accuracy,5,5.0,True,,,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,,
completeness,4,3.78,False,0.78,0.22,,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,,
accuracy,4,3.99,True,0.99,0.01,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,,
completeness,5,5.0,True,,,1.0,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,,
accuracy,5,5.0,True,,,1.0,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,,
completeness,5,4.99,True,0.01,,0.99,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,,
accuracy,4,4.01,True,0.99,,0.01,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,,
completeness,4,3.99,True,0.99,0.01,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,,
accuracy,4,4.44,False,0.56,,0.44,GenerateBaseComponent,component_generation,,1,,
completeness,4,4.03,True,0.97,,0.03,GenerateBaseComponent,component_generation,,1,,
accuracy,4,4.01,True,0.99,,0.01,GenerateReactApp,component_generation,,2,,
completeness,4,4.0,True,1.0,,,GenerateReactApp,component_generation,,2,,
accuracy,5,5.0,True,,,1.0,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,,
completeness,4,4.12,False,0.88,,0.12,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,,
accuracy,4,4.22,False,0.78,,0.22,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,,
completeness,5,5.0,True,,,1.0,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,,
accuracy,4,3.98,True,0.98,0.02,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,,
completeness,5,5.0,True,,,1.0,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,,
accuracy,4,4.27,False,0.73,,0.27,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,,
completeness,5,5.0,True,,,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,,
accuracy,5,5.0,True,,,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,,
completeness,4,4.0,True,1.0,,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,,
accuracy,5,4.94,True,0.06,,0.94,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,,
completeness,1,1.0,True,,,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,1.0,
accuracy,5,5.0,True,,,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,
completeness,5,5.0,True,,,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,
accuracy,4,3.97,True,0.97,0.03,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,,
completeness,4,3.97,True,0.97,0.03,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,,
accuracy,3,3.18,False,0.18,0.82,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,,
completeness,3,3.04,True,0.02,0.98,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,,0.01
accuracy,5,5.0,True,,,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,
completeness,4,3.92,True,0.92,0.08,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,
accuracy,3,3.27,False,0.27,0.73,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,,
completeness,4,3.99,True,0.99,0.01,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,,
accuracy,3,3.26,False,0.29,0.7,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,,
completeness,3,2.68,False,,0.68,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,,0.32
accuracy,3,3.03,True,0.02,0.97,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,,0.02
completeness,3,2.85,False,,0.85,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,,0.15
