metric,score,weighted_score,is_confident,score_5,scenario_id,scenario_name,category,experiment_date,model,input_tokens,output_tokens,experiment_duration,repository,score_4,score_3,score_2,score_1
accuracy,5,5.0,True,1.0,1,generate_base_component,code_generation,2024-06-13,llama3,201,928,68.63,,,,,
completeness,5,5.0,True,1.0,1,generate_base_component,code_generation,2024-06-13,llama3,201,928,68.63,,,,,
accuracy,5,5.0,True,1.0,2,generate_react_app,code_generation,2024-06-13,llama3,190,502,37.98,,,,,
completeness,5,5.0,True,1.0,2,generate_react_app,code_generation,2024-06-13,llama3,190,502,37.98,,,,,
accuracy,5,5.0,True,1.0,3,modify_react_app,code_generation,2024-06-13,llama3,374,581,44.04,react_fetch_api,,,,
completeness,4,4.0,True,,3,modify_react_app,code_generation,2024-06-13,llama3,374,581,44.04,react_fetch_api,1.0,,,
accuracy,3,2.93,False,,4,write_tests_for_legacy_code,code_generation,2024-06-13,llama3,5309,676,57.75,angular_cosmo_page,0.02,0.89,0.09,
completeness,2,1.98,True,,4,write_tests_for_legacy_code,code_generation,2024-06-13,llama3,5309,676,57.75,angular_cosmo_page,,,0.98,0.02
accuracy,4,4.01,True,0.01,5,write_tests_for_legacy_code,code_generation,2024-06-13,llama3,3125,938,73.91,todo_app_react,0.99,,,
completeness,2,2.5,False,,5,write_tests_for_legacy_code,code_generation,2024-06-13,llama3,3125,938,73.91,todo_app_react,,0.5,0.5,
accuracy,4,4.04,True,0.04,6,write_tests_for_legacy_code,code_generation,2024-06-13,llama3,1185,1224,93.81,react_sign_up,0.96,,,
completeness,4,4.5,False,0.5,6,write_tests_for_legacy_code,code_generation,2024-06-13,llama3,1185,1224,93.81,react_sign_up,0.5,,,
accuracy,5,5.0,True,1.0,7,angular_to_react,code_translation,2024-06-13,llama3,5334,993,83.5,angular_cosmo_page,,,,
completeness,4,4.0,True,,7,angular_to_react,code_translation,2024-06-13,llama3,5334,993,83.5,angular_cosmo_page,1.0,,,
accuracy,3,3.32,False,,08,react_to_angular,code_translation,2024-06-13,llama3,3167,2416,186.14,todo_app_react,0.32,0.68,,
completeness,3,3.31,False,,08,react_to_angular,code_translation,2024-06-13,llama3,3167,2416,186.14,todo_app_react,0.32,0.67,0.01,
accuracy,3,3.1,False,,09,react_to_angular,code_translation,2024-06-13,llama3,1227,1026,79.86,react_sign_up,0.1,0.9,,
completeness,3,3.1,False,,09,react_to_angular,code_translation,2024-06-13,llama3,1227,1026,79.86,react_sign_up,0.1,0.9,,
accuracy,4,3.99,True,,10,update_angular,code_translation,2024-06-13,llama3,2260,1934,147.99,todo_app_angular,0.99,0.01,,
completeness,4,4.0,True,,10,update_angular,code_translation,2024-06-13,llama3,2260,1934,147.99,todo_app_angular,1.0,,,
accuracy,5,5.0,True,1.0,11,update_react,code_translation,2024-06-13,llama3,3158,1544,118.15,todo_app_react,,,,
completeness,3,3.01,True,,11,update_react,code_translation,2024-06-13,llama3,3158,1544,118.15,todo_app_react,0.01,0.99,,
accuracy,5,5.0,True,1.0,12,vanilla_to_react,code_translation,2024-06-13,llama3,1355,1688,128.53,piano_js,,,,
completeness,5,5.0,True,1.0,12,vanilla_to_react,code_translation,2024-06-13,llama3,1355,1688,128.53,piano_js,,,,
accuracy,5,5.0,True,1.0,13,jquery_to_react,code_translation,2024-06-13,llama3,2324,1414,107.69,todo_app_jquery,,,,
completeness,2,2.05,True,,13,jquery_to_react,code_translation,2024-06-13,llama3,2324,1414,107.69,todo_app_jquery,,0.05,0.95,
accuracy,4,4.02,True,0.02,14,business_functionality,code_documentation,2024-06-13,llama3,5304,559,49.41,angular_cosmo_page,0.98,,,
completeness,5,5.0,True,1.0,14,business_functionality,code_documentation,2024-06-13,llama3,5304,559,49.41,angular_cosmo_page,,,,
accuracy,4,4.0,True,,15,business_functionality,code_documentation,2024-06-13,llama3,3120,540,44.94,todo_app_react,1.0,,,
completeness,4,3.91,True,,15,business_functionality,code_documentation,2024-06-13,llama3,3120,540,44.94,todo_app_react,0.91,0.09,,
accuracy,5,5.0,True,1.0,16,business_functionality,code_documentation,2024-06-13,llama3,1180,454,35.45,react_sign_up,,,,
completeness,5,5.0,True,1.0,16,business_functionality,code_documentation,2024-06-13,llama3,1180,454,35.45,react_sign_up,,,,
accuracy,5,5.0,True,1.0,17,describe_technical_implementation,code_documentation,2024-06-13,llama3,5381,449,41.26,angular_cosmo_page,,,,
completeness,3,2.95,True,,17,describe_technical_implementation,code_documentation,2024-06-13,llama3,5381,449,41.26,angular_cosmo_page,,0.95,0.05,
accuracy,5,5.0,True,1.0,18,describe_technical_implementation,code_documentation,2024-06-13,llama3,3197,488,40.83,todo_app_react,,,,
completeness,4,3.94,True,,18,describe_technical_implementation,code_documentation,2024-06-13,llama3,3197,488,40.83,todo_app_react,0.94,0.06,,
accuracy,5,5.0,True,1.0,19,describe_technical_implementation,code_documentation,2024-06-13,llama3,1257,510,40.61,react_sign_up,,,,
completeness,3,2.82,False,,19,describe_technical_implementation,code_documentation,2024-06-13,llama3,1257,510,40.61,react_sign_up,,0.82,0.18,
accuracy,2,2.12,False,,20,evaluate_code_quality,code_documentation,2024-06-13,llama3,5425,1252,100.62,angular_cosmo_page,,0.12,0.88,
completeness,2,2.0,True,,20,evaluate_code_quality,code_documentation,2024-06-13,llama3,5425,1252,100.62,angular_cosmo_page,,0.01,0.98,0.01
accuracy,5,5.0,True,1.0,21,evaluate_code_quality,code_documentation,2024-06-13,llama3,3241,2112,160.87,todo_app_react,,,,
completeness,5,5.0,True,1.0,21,evaluate_code_quality,code_documentation,2024-06-13,llama3,3241,2112,160.87,todo_app_react,,,,
accuracy,4,3.94,True,,22,evaluate_code_quality,code_documentation,2024-06-13,llama3,1301,1556,115.29,react_sign_up,0.94,0.06,,
completeness,3,3.0,True,,22,evaluate_code_quality,code_documentation,2024-06-13,llama3,1301,1556,115.29,react_sign_up,,1.0,,
