metric,score,weighted_score,is_confident,score_4,score_3,category,experiment,repository,scenario_id,score_5,score_2,score_1
accuracy,4,3.82,False,0.82,0.18,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,,,
completeness,4,3.62,False,0.62,0.38,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,,,
accuracy,5,5.0,True,,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,1.0,,
completeness,5,5.0,True,,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,1.0,,
accuracy,4,3.95,True,0.98,0.01,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,,,
completeness,5,5.0,True,,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,1.0,,
accuracy,5,5.0,True,,,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,1.0,,
completeness,3,2.97,True,,0.97,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,,0.03,
accuracy,5,5.0,True,,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,1.0,,
completeness,3,3.18,False,0.18,0.82,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,,,
accuracy,5,5.0,True,,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,1.0,,
completeness,5,5.0,True,,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,1.0,,
accuracy,5,5.0,True,,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,1.0,,
completeness,5,5.0,True,,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,1.0,,
accuracy,4,4.0,True,1.0,,GenerateBaseComponent,component_generation,,1,,,
completeness,4,4.0,True,1.0,,GenerateBaseComponent,component_generation,,1,,,
accuracy,4,4.32,False,0.68,,GenerateReactApp,component_generation,,2,0.32,,
completeness,5,5.0,True,,,GenerateReactApp,component_generation,,2,1.0,,
accuracy,3,2.99,True,,0.99,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,,0.01,
completeness,5,5.0,True,,,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,1.0,,
accuracy,4,4.01,True,0.99,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,0.01,,
completeness,4,4.02,True,0.98,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,0.02,,
accuracy,5,5.0,True,,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,1.0,,
completeness,5,5.0,True,,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,1.0,,
accuracy,5,4.85,False,0.15,,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,0.85,,
completeness,5,5.0,True,,,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,1.0,,
accuracy,5,5.0,True,,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,1.0,,
completeness,4,4.01,True,0.99,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,0.01,,
accuracy,5,5.0,True,,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,1.0,,
completeness,2,1.96,True,,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,,0.96,0.04
accuracy,5,5.0,True,,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,1.0,,
completeness,3,2.88,False,,0.88,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,0.12,
accuracy,3,2.94,True,,0.94,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,,0.06,
completeness,3,2.73,False,,0.73,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,,0.27,
accuracy,3,3.08,True,0.08,0.92,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,,,
completeness,5,5.0,True,,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,1.0,,
accuracy,5,5.0,True,,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,1.0,,
completeness,5,5.0,True,,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,1.0,,
accuracy,4,3.91,True,0.91,0.09,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,,,
completeness,3,2.94,True,,0.94,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,,0.06,
accuracy,3,2.95,True,,0.95,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,,0.05,
completeness,2,2.04,True,,0.07,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,,0.91,0.01
accuracy,3,2.88,False,,0.88,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,,0.12,
completeness,2,1.9,False,,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,,0.9,0.1
accuracy,4,4.0,True,1.0,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,,,
completeness,4,4.08,True,0.92,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,0.08,,
