metric,score,weighted_score,is_confident,score_5,category,experiment,repository,scenario_id,score_4,score_3,score_1,score_2
accuracy,5,5.0,True,1.0,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,,,,
completeness,4,3.99,True,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,0.99,0.01,,
accuracy,4,3.85,False,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,0.85,0.15,,
completeness,4,4.04,True,0.04,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,0.96,,,
accuracy,1,1.0,True,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,,,1.0,
completeness,1,1.0,True,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,,,1.0,
accuracy,5,5.0,True,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,,,,
completeness,5,5.0,True,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,,,,
accuracy,5,5.0,True,1.0,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,,,,
completeness,3,3.32,False,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,0.32,0.68,,
accuracy,5,5.0,True,1.0,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,,,,
completeness,5,5.0,True,1.0,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,,,,
accuracy,5,5.0,True,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,,,,
completeness,5,5.0,True,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,,,,
accuracy,5,5.0,True,1.0,GenerateBaseComponent,component_generation,,1,,,,
completeness,5,5.0,True,1.0,GenerateBaseComponent,component_generation,,1,,,,
accuracy,4,4.15,False,0.15,GenerateReactApp,component_generation,,2,0.85,,,
completeness,5,4.99,True,0.99,GenerateReactApp,component_generation,,2,0.01,,,
accuracy,5,5.0,True,1.0,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,,,,
completeness,5,4.99,True,0.99,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,0.01,,,
accuracy,5,4.68,False,0.68,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,0.32,,,
completeness,5,5.0,True,1.0,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,,,,
accuracy,4,3.91,True,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,0.91,0.09,,
completeness,5,5.0,True,1.0,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,,,,
accuracy,5,5.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,,,,
completeness,4,3.65,False,,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,0.65,0.35,,
accuracy,5,5.0,True,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,,,,
completeness,5,5.0,True,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,,,,
accuracy,5,5.0,True,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,,,,
completeness,4,4.0,True,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,1.0,,,
accuracy,5,5.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,,,
completeness,5,5.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,,,
accuracy,4,4.38,False,0.38,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,0.62,,,
completeness,4,3.8,False,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,0.8,0.2,,
accuracy,3,3.35,False,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,0.35,0.65,,
completeness,4,3.73,False,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,0.73,0.27,,
accuracy,5,5.0,True,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,,,
completeness,5,5.0,True,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,,,
accuracy,4,3.73,False,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,0.73,0.27,,
completeness,3,3.32,False,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,0.32,0.68,,
accuracy,5,5.0,True,1.0,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,,,,
completeness,5,5.0,True,1.0,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,,,,
