metric,score,weighted_score,is_confident,score_5,category,experiment,repository,scenario_id,model,score_4,score_3,score_2
accuracy,5,5.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,,,
completeness,5,5.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,,,
accuracy,5,4.9,False,0.9,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,0.1,,
completeness,5,5.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,,,
accuracy,5,5.0,True,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,,,
completeness,5,5.0,True,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,,,
accuracy,5,5.0,True,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,,,
completeness,4,4.0,True,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,1.0,,
accuracy,5,5.0,True,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,,,
completeness,4,4.0,True,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,1.0,,
accuracy,4,4.01,True,0.01,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,0.99,,
completeness,4,3.96,True,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,0.96,0.04,
accuracy,5,5.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,,,
completeness,5,5.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,,,
accuracy,5,5.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,,,
completeness,5,5.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,,,
accuracy,5,5.0,True,1.0,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,,,
completeness,4,3.94,True,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,0.94,0.06,
