metric,score,weighted_score,is_confident,score_2,category,experiment,repository,scenario_id,model,score_3,score_5,score_4,score_1
accuracy,2,2.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,,,,
completeness,2,2.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,,,,
accuracy,2,2.1,False,0.9,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,0.1,,,
completeness,2,2.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,,,,
accuracy,2,2.08,True,0.92,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,0.08,,,
completeness,2,2.08,True,0.92,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,0.08,,,
accuracy,3,3.0,True,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,1.0,,,
completeness,2,2.18,False,0.82,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,0.18,,,
accuracy,5,5.0,True,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,,1.0,,
completeness,2,2.0,True,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,,,,
accuracy,4,4.0,True,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,,,1.0,
completeness,2,2.0,True,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,,,,
accuracy,2,2.32,False,0.68,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,0.32,,,
completeness,1,1.0,True,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,,,,1.0
accuracy,2,2.5,False,0.5,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,0.5,,,
completeness,4,4.08,True,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,,0.08,0.92,
accuracy,5,5.0,True,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,,1.0,,
completeness,1,1.0,True,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,,,,1.0
accuracy,4,4.0,True,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,o3-mini,,,1.0,
completeness,5,4.88,False,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,o3-mini,,0.88,0.12,
accuracy,4,4.0,True,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,claude-3-7-sonnet@20250219,,,1.0,
completeness,3,2.9,False,0.1,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,claude-3-7-sonnet@20250219,0.9,,,
accuracy,4,4.15,False,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,o3-mini,,0.15,0.85,
completeness,4,4.0,True,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,o3-mini,,,1.0,
accuracy,5,5.0,True,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,,1.0,,
completeness,5,5.0,True,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,,1.0,,
accuracy,5,4.56,False,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,,0.56,0.44,
completeness,3,3.0,True,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,1.0,,,
accuracy,3,3.04,True,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,0.96,,0.04,
completeness,4,3.95,True,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,0.05,,0.95,
accuracy,3,3.22,False,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,0.78,,0.22,
completeness,5,5.0,True,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,,1.0,,
accuracy,5,5.0,True,,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,,1.0,,
completeness,4,3.62,False,,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,0.38,,0.62,
accuracy,5,5.0,True,,GenerateBaseComponent,component_generation,,1,o3-mini,,1.0,,
completeness,4,4.0,True,,GenerateBaseComponent,component_generation,,1,o3-mini,,,1.0,
accuracy,4,4.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,,1.0,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,1.0,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,,1.0,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,,1.0,,
accuracy,5,5.0,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,,1.0,,
completeness,4,4.27,False,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,,0.27,0.73,
accuracy,5,5.0,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,,1.0,,
completeness,4,3.92,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,0.08,,0.92,
accuracy,4,4.0,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,claude-3-7-sonnet@20250219,,,1.0,
completeness,2,2.0,True,1.0,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,claude-3-7-sonnet@20250219,,,,
accuracy,4,4.0,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,o3-mini,,,1.0,
completeness,2,2.0,True,1.0,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,o3-mini,,,,
accuracy,4,4.0,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,claude-3-7-sonnet@20250219,,,1.0,
completeness,1,1.02,True,0.02,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,claude-3-7-sonnet@20250219,,,,0.98
accuracy,4,4.06,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,o3-mini,,0.06,0.94,
completeness,1,1.0,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,o3-mini,,,,1.0
accuracy,3,2.99,True,0.01,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,claude-3-7-sonnet@20250219,0.99,,,
completeness,2,2.1,False,0.9,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,claude-3-7-sonnet@20250219,0.1,,,
accuracy,4,4.06,True,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,o3-mini,,0.06,0.94,
completeness,2,2.0,True,1.0,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,o3-mini,,,,
accuracy,5,5.0,True,,GenerateProjectConfiguration,solution_template_generation,,24,claude-3-7-sonnet@20250219,,1.0,,
completeness,5,5.0,True,,GenerateProjectConfiguration,solution_template_generation,,24,claude-3-7-sonnet@20250219,,1.0,,
accuracy,5,5.0,True,,GenerateProjectConfiguration,solution_template_generation,,24,o3-mini,,1.0,,
completeness,5,5.0,True,,GenerateProjectConfiguration,solution_template_generation,,24,o3-mini,,1.0,,
accuracy,5,5.0,True,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,claude-3-7-sonnet@20250219,,1.0,,
completeness,4,3.62,False,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,claude-3-7-sonnet@20250219,0.38,,0.62,
accuracy,5,4.62,False,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,o3-mini,,0.62,0.38,
completeness,4,4.0,True,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,o3-mini,,,1.0,
accuracy,2,2.0,True,1.0,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,claude-3-7-sonnet@20250219,,,,
completeness,3,3.0,True,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,claude-3-7-sonnet@20250219,1.0,,,
accuracy,2,2.01,True,0.99,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,o3-mini,0.01,,,
completeness,2,2.18,False,0.82,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,o3-mini,0.18,,,
accuracy,5,5.0,True,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,claude-3-7-sonnet@20250219,,1.0,,
completeness,2,2.0,True,1.0,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,claude-3-7-sonnet@20250219,,,,
accuracy,5,5.0,True,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,o3-mini,,1.0,,
completeness,1,1.27,False,0.27,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,o3-mini,,,,0.73
accuracy,2,2.01,True,0.99,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,claude-3-7-sonnet@20250219,0.01,,,
completeness,2,2.01,True,0.99,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,claude-3-7-sonnet@20250219,0.01,,,
accuracy,3,3.0,True,,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,o3-mini,1.0,,,
completeness,3,2.99,True,0.01,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,o3-mini,0.99,,,
accuracy,5,5.0,True,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,claude-3-7-sonnet@20250219,,1.0,,
completeness,5,4.88,False,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,claude-3-7-sonnet@20250219,,0.88,0.12,
accuracy,5,5.0,True,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,o3-mini,,1.0,,
completeness,4,4.0,True,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,o3-mini,,,1.0,
accuracy,4,4.05,True,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,claude-3-7-sonnet@20250219,,0.05,0.95,
completeness,4,4.0,True,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,claude-3-7-sonnet@20250219,,,1.0,
accuracy,5,5.0,True,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,o3-mini,,1.0,,
completeness,4,3.94,True,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,o3-mini,0.06,,0.94,
accuracy,4,4.0,True,,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,claude-3-7-sonnet@20250219,,,1.0,
completeness,4,4.0,True,,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,claude-3-7-sonnet@20250219,,,1.0,
accuracy,3,3.12,False,,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,o3-mini,0.88,,0.12,
completeness,4,4.0,True,,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,o3-mini,,,1.0,
accuracy,4,4.22,False,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,claude-3-7-sonnet@20250219,,0.22,0.78,
completeness,4,4.0,True,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,claude-3-7-sonnet@20250219,,,1.0,
accuracy,5,4.82,False,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,o3-mini,,0.82,0.18,
completeness,3,3.0,True,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,o3-mini,1.0,,,
accuracy,5,5.0,True,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,claude-3-7-sonnet@20250219,,1.0,,
completeness,3,3.08,True,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,claude-3-7-sonnet@20250219,0.92,,0.08,
accuracy,5,5.0,True,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,o3-mini,,1.0,,
completeness,3,2.94,True,0.06,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,o3-mini,0.94,,,
