metric,score,weighted_score,is_confident,scenario_id,scenario_name,category,repository,score_5,score_4,score_3,score_2,score_1
accuracy,5,5.0,True,1,generate_base_component,component_generation,,1.0,,,,
completeness,4,4.0,True,1,generate_base_component,component_generation,,,1.0,,,
accuracy,5,4.62,False,2,generate_react_app,component_generation,,0.62,0.38,,,
completeness,5,5.0,True,2,generate_react_app,component_generation,,1.0,,,,
accuracy,4,4.1,False,3,modify_react_app,component_generation,,0.1,0.9,,,
completeness,4,3.62,False,3,modify_react_app,component_generation,,,0.62,0.38,,
accuracy,3,3.03,True,4,write_tests_for_legacy_code,test_generation,angular_cosmo_page,,0.01,0.99,0.01,
completeness,1,1.32,False,4,write_tests_for_legacy_code,test_generation,angular_cosmo_page,,,,0.32,0.68
accuracy,3,3.11,False,5,write_tests_for_legacy_code,test_generation,todo_app_react,,0.11,0.89,,
completeness,2,2.5,False,5,write_tests_for_legacy_code,test_generation,todo_app_react,,,0.5,0.5,
accuracy,4,3.97,True,6,write_tests_for_legacy_code,test_generation,react_sign_up,,0.97,0.03,,
completeness,5,4.9,False,6,write_tests_for_legacy_code,test_generation,react_sign_up,0.9,0.1,,,
accuracy,5,5.0,True,7,angular_to_react,solution_migration,angular_cosmo_page,1.0,,,,
completeness,2,1.85,False,7,angular_to_react,solution_migration,angular_cosmo_page,,,,0.85,0.15
accuracy,5,5.0,True,08,react_to_angular,solution_migration,todo_app_react,1.0,,,,
completeness,5,5.0,True,08,react_to_angular,solution_migration,todo_app_react,1.0,,,,
accuracy,5,4.62,False,09,react_to_angular,solution_migration,react_sign_up,0.62,0.38,,,
completeness,4,3.99,True,09,react_to_angular,solution_migration,react_sign_up,,0.99,0.01,,
accuracy,5,4.62,False,10,update_angular,solution_migration,todo_app_angular,0.62,0.38,,,
completeness,3,3.11,False,10,update_angular,solution_migration,todo_app_angular,,0.11,0.89,,
accuracy,5,5.0,True,11,update_react,solution_migration,todo_app_react,1.0,,,,
completeness,4,4.0,True,11,update_react,solution_migration,todo_app_react,,1.0,,,
accuracy,5,5.0,True,12,vanilla_to_react,solution_migration,piano_js,1.0,,,,
completeness,5,5.0,True,12,vanilla_to_react,solution_migration,piano_js,1.0,,,,
accuracy,5,5.0,True,13,jquery_to_react,solution_migration,todo_app_jquery,1.0,,,,
completeness,4,4.0,True,13,jquery_to_react,solution_migration,todo_app_jquery,,1.0,,,
accuracy,5,5.0,True,14,business_functionality,solution_documentation,angular_cosmo_page,1.0,,,,
completeness,5,5.0,True,14,business_functionality,solution_documentation,angular_cosmo_page,1.0,,,,
accuracy,5,5.0,True,15,business_functionality,solution_documentation,todo_app_react,1.0,,,,
completeness,4,4.18,False,15,business_functionality,solution_documentation,todo_app_react,0.18,0.82,,,
accuracy,3,3.5,False,16,business_functionality,solution_documentation,react_sign_up,,0.5,0.5,,
completeness,5,5.0,True,16,business_functionality,solution_documentation,react_sign_up,1.0,,,,
accuracy,5,5.0,True,17,describe_technical_implementation,code_explanation,angular_cosmo_page,1.0,,,,
completeness,2,2.44,False,17,describe_technical_implementation,code_explanation,angular_cosmo_page,,,0.44,0.56,
accuracy,5,5.0,True,18,describe_technical_implementation,code_explanation,todo_app_react,1.0,,,,
completeness,5,5.0,True,18,describe_technical_implementation,code_explanation,todo_app_react,1.0,,,,
accuracy,4,3.9,False,19,describe_technical_implementation,code_explanation,react_sign_up,,0.9,0.1,,
completeness,3,3.0,True,19,describe_technical_implementation,code_explanation,react_sign_up,,,1.0,,
accuracy,5,4.73,False,20,evaluate_code_quality,code_analysis,angular_cosmo_page,0.73,0.27,,,
completeness,5,5.0,True,20,evaluate_code_quality,code_analysis,angular_cosmo_page,1.0,,,,
accuracy,4,4.0,True,21,evaluate_code_quality,code_analysis,todo_app_react,,1.0,,,
completeness,5,4.98,True,21,evaluate_code_quality,code_analysis,todo_app_react,0.98,0.02,,,
accuracy,5,5.0,True,22,evaluate_code_quality,code_analysis,react_sign_up,1.0,,,,
completeness,3,3.0,True,22,evaluate_code_quality,code_analysis,react_sign_up,,,1.0,,
accuracy,4,4.1,False,23,write_tests_for_actual_code,test_generation,react_select,0.1,0.9,,,
completeness,3,3.33,False,23,write_tests_for_actual_code,test_generation,react_select,,0.32,0.67,0.02,
