metric,score,weighted_score,is_confident,score_5,category,experiment,repository,scenario_id,score_3,score_4,score_2,score_1
accuracy,5,5.0,True,1.0,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,,,,
completeness,5,5.0,True,1.0,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,,,,
accuracy,5,5.0,True,1.0,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,,,,
completeness,5,5.0,True,1.0,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,,,,
accuracy,5,5.0,True,1.0,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,,,,
completeness,5,5.0,True,1.0,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,,,,
accuracy,5,5.0,True,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,,,,
completeness,3,3.01,True,,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,0.97,0.02,0.01,
accuracy,3,2.73,False,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,0.73,,0.27,
completeness,1,1.0,True,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,,,,1.0
accuracy,5,5.0,True,1.0,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,,,,
completeness,2,1.82,False,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,,,0.82,0.18
accuracy,5,5.0,True,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,,,,
completeness,5,5.0,True,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,,,,
accuracy,5,5.0,True,1.0,GenerateBaseComponent,component_generation,,1,,,,
completeness,5,5.0,True,1.0,GenerateBaseComponent,component_generation,,1,,,,
accuracy,5,5.0,True,1.0,GenerateReactApp,component_generation,,2,,,,
completeness,5,5.0,True,1.0,GenerateReactApp,component_generation,,2,,,,
accuracy,5,5.0,True,1.0,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,,,,
completeness,5,5.0,True,1.0,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,,,,
accuracy,4,4.12,False,0.12,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,,0.88,,
completeness,4,3.99,True,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,0.01,0.99,,
accuracy,3,3.0,True,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,0.98,0.01,0.01,
completeness,5,5.0,True,1.0,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,,,,
accuracy,4,4.03,True,0.03,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,,0.97,,
completeness,5,5.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,,,,
accuracy,5,5.0,True,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,,,,
completeness,5,5.0,True,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,,,,
accuracy,5,5.0,True,1.0,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,,,,
completeness,5,5.0,True,1.0,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,,,,
accuracy,5,5.0,True,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,,,
completeness,5,5.0,True,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,,,
accuracy,5,5.0,True,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,,,,
completeness,5,5.0,True,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,,,,
accuracy,5,5.0,True,1.0,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,,,,
completeness,4,4.02,True,0.02,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,,0.98,,
accuracy,5,5.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,,,
completeness,5,5.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,,,
accuracy,3,3.08,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,0.92,0.08,,
completeness,4,4.22,False,0.22,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,,0.78,,
accuracy,4,3.99,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,0.01,0.99,,
completeness,1,1.5,False,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,,,0.5,0.5
accuracy,3,2.95,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,0.97,,0.02,
completeness,2,1.98,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,0.01,,0.97,0.01
accuracy,5,5.0,True,1.0,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,,,,
completeness,5,5.0,True,1.0,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,,,,
