metric,score,weighted_score,is_confident,score_5,scenario_id,scenario_name,category,score_4,score_3,score_2,repository,score_1
accuracy,5,5.0,True,1.0,1,generate_base_component,component_generation,,,,,
completeness,5,5.0,True,1.0,1,generate_base_component,component_generation,,,,,
accuracy,4,3.95,True,,2,generate_react_app,component_generation,0.98,0.01,,,
completeness,5,5.0,True,1.0,2,generate_react_app,component_generation,,,,,
accuracy,5,5.0,True,1.0,3,modify_react_app,component_generation,,,,,
completeness,5,5.0,True,1.0,3,modify_react_app,component_generation,,,,,
accuracy,3,2.99,True,,4,write_tests_for_legacy_code,test_generation,,0.99,0.01,angular_cosmo_page,
completeness,1,1.5,False,,4,write_tests_for_legacy_code,test_generation,,,0.5,angular_cosmo_page,0.5
accuracy,5,5.0,True,1.0,5,write_tests_for_legacy_code,test_generation,,,,todo_app_react,
completeness,4,4.02,True,0.02,5,write_tests_for_legacy_code,test_generation,0.98,,,todo_app_react,
accuracy,4,3.97,True,,6,write_tests_for_legacy_code,test_generation,0.97,0.03,,react_sign_up,
completeness,5,4.62,False,0.62,6,write_tests_for_legacy_code,test_generation,0.38,,,react_sign_up,
accuracy,5,5.0,True,1.0,7,angular_to_react,solution_migration,,,,angular_cosmo_page,
completeness,3,3.0,True,,7,angular_to_react,solution_migration,,1.0,,angular_cosmo_page,
accuracy,5,5.0,True,1.0,08,react_to_angular,solution_migration,,,,todo_app_react,
completeness,5,5.0,True,1.0,08,react_to_angular,solution_migration,,,,todo_app_react,
accuracy,3,3.32,False,,09,react_to_angular,solution_migration,0.32,0.68,,react_sign_up,
completeness,5,5.0,True,1.0,09,react_to_angular,solution_migration,,,,react_sign_up,
accuracy,5,4.56,False,0.56,10,update_angular,solution_migration,0.44,,,todo_app_angular,
completeness,5,5.0,True,1.0,10,update_angular,solution_migration,,,,todo_app_angular,
accuracy,5,5.0,True,1.0,11,update_react,solution_migration,,,,todo_app_react,
completeness,5,5.0,True,1.0,11,update_react,solution_migration,,,,todo_app_react,
accuracy,5,5.0,True,1.0,12,vanilla_to_react,solution_migration,,,,piano_native_js,
completeness,5,5.0,True,1.0,12,vanilla_to_react,solution_migration,,,,piano_native_js,
accuracy,5,5.0,True,1.0,13,jquery_to_react,solution_migration,,,,todo_app_jquery,
completeness,5,5.0,True,1.0,13,jquery_to_react,solution_migration,,,,todo_app_jquery,
accuracy,5,5.0,True,1.0,14,business_functionality,solution_documentation,,,,angular_cosmo_page,
completeness,5,5.0,True,1.0,14,business_functionality,solution_documentation,,,,angular_cosmo_page,
accuracy,4,4.06,True,0.06,15,business_functionality,solution_documentation,0.94,,,todo_app_react,
completeness,5,5.0,True,1.0,15,business_functionality,solution_documentation,,,,todo_app_react,
accuracy,5,5.0,True,1.0,16,business_functionality,solution_documentation,,,,react_sign_up,
completeness,5,5.0,True,1.0,16,business_functionality,solution_documentation,,,,react_sign_up,
accuracy,5,5.0,True,1.0,17,describe_technical_implementation,code_explanation,,,,angular_cosmo_page,
completeness,3,3.34,False,,17,describe_technical_implementation,code_explanation,0.41,0.52,0.07,angular_cosmo_page,
accuracy,5,5.0,True,1.0,18,describe_technical_implementation,code_explanation,,,,todo_app_react,
completeness,5,5.0,True,1.0,18,describe_technical_implementation,code_explanation,,,,todo_app_react,
accuracy,4,3.99,True,,19,describe_technical_implementation,code_explanation,0.99,0.01,,react_sign_up,
completeness,4,4.0,True,,19,describe_technical_implementation,code_explanation,1.0,,,react_sign_up,
accuracy,3,3.0,True,,20,evaluate_code_quality,code_analysis,,1.0,,angular_cosmo_page,
completeness,3,2.98,True,,20,evaluate_code_quality,code_analysis,,0.98,0.02,angular_cosmo_page,
accuracy,4,4.0,True,,21,evaluate_code_quality,code_analysis,1.0,,,todo_app_react,
completeness,4,4.32,False,0.32,21,evaluate_code_quality,code_analysis,0.68,,,todo_app_react,
accuracy,4,4.0,True,,22,evaluate_code_quality,code_analysis,1.0,,,react_sign_up,
completeness,4,4.0,True,,22,evaluate_code_quality,code_analysis,1.0,,,react_sign_up,
accuracy,3,2.9,False,,23,write_tests_for_actual_code,test_generation,,0.9,0.1,react_select,
completeness,3,3.03,True,,23,write_tests_for_actual_code,test_generation,0.06,0.91,0.03,react_select,
