metric,score,weighted_score,is_confident,score_4,score_5,category,experiment,repository,scenario_id,model,score_3,score_2
accuracy,4,4.01,True,0.99,0.01,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,,
accuracy,4,4.02,True,0.98,0.02,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,,
completeness,5,5.0,True,,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,,
accuracy,5,5.0,True,,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,,
accuracy,4,4.06,True,0.94,0.06,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,,
completeness,5,5.0,True,,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,,
accuracy,5,5.0,True,,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,,
completeness,4,4.0,True,1.0,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,,
accuracy,5,4.82,False,0.18,0.82,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,,
completeness,4,4.0,True,1.0,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,,
accuracy,4,4.0,True,1.0,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,,
accuracy,5,4.78,False,0.22,0.78,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,,
completeness,5,5.0,True,,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,,
accuracy,5,5.0,True,,1.0,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,,
completeness,4,4.44,False,0.56,0.44,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,,
accuracy,5,5.0,True,,1.0,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,o3-mini,,
completeness,4,4.22,False,0.78,0.22,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,o3-mini,,
accuracy,5,4.94,True,0.06,0.94,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,claude-3-7-sonnet@20250219,,
completeness,5,4.96,True,0.04,0.96,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,claude-3-7-sonnet@20250219,,
accuracy,5,4.82,False,0.18,0.82,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,o3-mini,,
completeness,4,4.0,True,1.0,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,o3-mini,,
accuracy,5,5.0,True,,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,,
accuracy,5,5.0,True,,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,,
completeness,5,5.0,True,,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,,
accuracy,5,5.0,True,,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,,
accuracy,5,5.0,True,,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,,
completeness,5,5.0,True,,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,,
accuracy,5,5.0,True,,1.0,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,,
accuracy,5,5.0,True,,1.0,GenerateBaseComponent,component_generation,,1,o3-mini,,
completeness,5,5.0,True,,1.0,GenerateBaseComponent,component_generation,,1,o3-mini,,
accuracy,5,5.0,True,,1.0,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,
accuracy,5,5.0,True,,1.0,GenerateReactApp,component_generation,,2,o3-mini,,
completeness,5,5.0,True,,1.0,GenerateReactApp,component_generation,,2,o3-mini,,
accuracy,5,5.0,True,,1.0,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,,
accuracy,5,5.0,True,,1.0,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,,
completeness,4,4.0,True,1.0,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,,
accuracy,5,5.0,True,,1.0,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,claude-3-7-sonnet@20250219,,
completeness,3,3.02,True,0.02,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,claude-3-7-sonnet@20250219,0.98,
accuracy,5,5.0,True,,1.0,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,o3-mini,,
completeness,4,4.01,True,0.99,0.01,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,o3-mini,,
accuracy,5,5.0,True,,1.0,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,claude-3-7-sonnet@20250219,,
accuracy,5,5.0,True,,1.0,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,o3-mini,,
completeness,5,5.0,True,,1.0,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,o3-mini,,
accuracy,4,4.0,True,1.0,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,claude-3-7-sonnet@20250219,,
completeness,3,2.88,False,,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,claude-3-7-sonnet@20250219,0.88,0.12
accuracy,5,5.0,True,,1.0,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,o3-mini,,
completeness,2,2.1,False,,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,o3-mini,0.1,0.9
accuracy,5,5.0,True,,1.0,GenerateProjectConfiguration,solution_template_generation,,24,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,GenerateProjectConfiguration,solution_template_generation,,24,claude-3-7-sonnet@20250219,,
accuracy,5,5.0,True,,1.0,GenerateProjectConfiguration,solution_template_generation,,24,o3-mini,,
completeness,5,5.0,True,,1.0,GenerateProjectConfiguration,solution_template_generation,,24,o3-mini,,
accuracy,5,5.0,True,,1.0,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,claude-3-7-sonnet@20250219,,
accuracy,5,5.0,True,,1.0,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,o3-mini,,
completeness,5,5.0,True,,1.0,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,o3-mini,,
accuracy,5,5.0,True,,1.0,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,claude-3-7-sonnet@20250219,,
completeness,3,2.99,True,,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,claude-3-7-sonnet@20250219,0.99,0.01
accuracy,5,4.98,True,0.02,0.98,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,o3-mini,,
completeness,3,3.08,True,0.08,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,o3-mini,0.92,
accuracy,5,5.0,True,,1.0,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,claude-3-7-sonnet@20250219,,
completeness,3,2.73,False,,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,claude-3-7-sonnet@20250219,0.73,0.27
accuracy,5,5.0,True,,1.0,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,o3-mini,,
completeness,3,2.99,True,,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,o3-mini,0.99,0.01
accuracy,4,4.5,False,0.5,0.5,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,claude-3-7-sonnet@20250219,,
accuracy,4,4.38,False,0.62,0.38,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,o3-mini,,
completeness,4,4.0,True,1.0,,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,o3-mini,,
accuracy,5,4.56,False,0.44,0.56,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,claude-3-7-sonnet@20250219,,
completeness,5,5.0,True,,1.0,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,claude-3-7-sonnet@20250219,,
accuracy,4,4.44,False,0.56,0.44,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,o3-mini,,
completeness,5,5.0,True,,1.0,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,o3-mini,,
